name,full_path,extension,pair_key,side,size_bytes
UD_002_A_0113_01_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_01_a.jpg,.jpg,UD_002_A_0113_01,a,25159546
UD_002_A_0113_01_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_01_b.jpg,.jpg,UD_002_A_0113_01,b,15976772
UD_002_A_0113_02_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_02_a.jpg,.jpg,UD_002_A_0113_02,a,25159546
UD_002_A_0113_02_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_02_b.jpg,.jpg,UD_002_A_0113_02,b,15976772
UD_002_A_0113_03_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_03_a.jpg,.jpg,UD_002_A_0113_03,a,25159546
UD_002_A_0113_03_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_03_b.jpg,.jpg,UD_002_A_0113_03,b,15976772
UD_002_A_0113_04_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_04_a.jpg,.jpg,UD_002_A_0113_04,a,25159546
UD_002_A_0113_04_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0113_04_b.jpg,.jpg,UD_002_A_0113_04,b,15976772
UD_002_B_0001_01_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_01_a.jpg,.jpg,UD_002_B_0001_01,a,25659612
UD_002_B_0001_01_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_01_b.jpg,.jpg,UD_002_B_0001_01,b,20843626
UD_002_B_0001_02_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_02_a.jpg,.jpg,UD_002_B_0001_02,a,25659612
UD_002_B_0001_02_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_02_b.jpg,.jpg,UD_002_B_0001_02,b,20843626
UD_002_B_0001_03_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_03_a.jpg,.jpg,UD_002_B_0001_03,a,25659612
UD_002_B_0001_03_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_03_b.jpg,.jpg,UD_002_B_0001_03,b,20843626
UD_002_B_0001_04_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_04_a.jpg,.jpg,UD_002_B_0001_04,a,25659612
UD_002_B_0001_04_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0001_04_b.jpg,.jpg,UD_002_B_0001_04,b,20843626
UD_002_B_0002_01_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0002_01_a.jpg,.jpg,UD_002_B_0002_01,a,20980550
UD_002_B_0002_01_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0002_01_b.jpg,.jpg,UD_002_B_0002_01,b,17630550
UD_002_B_0002_02_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0002_02_a.jpg,.jpg,UD_002_B_0002_02,a,20980550
UD_002_B_0002_02_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_B_0002_02_b.jpg,.jpg,UD_002_B_0002_02,b,17630550
