PairKey,SourceLayout,ABackbone,ARotateCW,BWinnerCW,WinnerScore,RunnerUpCW,RunnerUpScore,Margin,Score0,Score90,Score180,Score270
UD_001_D_063_03,UD_001_D_063,left,270,0,0.520955,180,0.474925,0.04603,0.520955,0.471539,0.474925,0.432836
UD_001_D_063_04,UD_001_D_063,left,270,0,0.520955,180,0.474925,0.04603,0.520955,0.471539,0.474925,0.432836
UD_001_D_064_01,UD_001_D_064,left,270,0,0.533207,180,0.511988,0.021218,0.533207,0.499362,0.511988,0.465953
UD_001_D_064_02,UD_001_D_064,left,270,0,0.533207,180,0.511988,0.021218,0.533207,0.499362,0.511988,0.465953
UD_001_D_064_03,UD_001_D_064,left,270,0,0.533207,180,0.511988,0.021218,0.533207,0.499362,0.511988,0.465953
UD_001_D_064_04,UD_001_D_064,left,270,0,0.533207,180,0.511988,0.021218,0.533207,0.499362,0.511988,0.465953
UD_001_D_087_01,UD_001_D_087,left,270,0,0.625822,90,0.481996,0.143826,0.625822,0.481996,0.459958,0.460654
UD_001_D_087_02,UD_001_D_087,left,270,0,0.625822,90,0.481996,0.143826,0.625822,0.481996,0.459958,0.460654
UD_001_D_087_03,UD_001_D_087,left,270,0,0.625822,90,0.481996,0.143826,0.625822,0.481996,0.459958,0.460654
UD_001_D_087_04,UD_001_D_087,left,270,0,0.625822,90,0.481996,0.143826,0.625822,0.481996,0.459958,0.460654
UD_001_D_088_01,UD_001_D_088,left,270,0,0.623351,180,0.495141,0.12821,0.623351,0.475435,0.495141,0.463164
UD_001_D_088_02,UD_001_D_088,left,270,0,0.623351,180,0.495141,0.12821,0.623351,0.475435,0.495141,0.463164
UD_001_D_088_03,UD_001_D_088,left,270,0,0.623351,180,0.495141,0.12821,0.623351,0.475435,0.495141,0.463164
UD_001_D_088_04,UD_001_D_088,left,270,0,0.623351,180,0.495141,0.12821,0.623351,0.475435,0.495141,0.463164
UD_001_E_065_01,UD_001_E_065,top,180,0,0.525123,180,0.486871,0.038252,0.525123,0.475537,0.486871,0.473844
UD_001_E_065_02,UD_001_E_065,top,180,0,0.525123,180,0.486871,0.038252,0.525123,0.475537,0.486871,0.473844
UD_001_E_065_03,UD_001_E_065,top,180,0,0.525123,180,0.486871,0.038252,0.525123,0.475537,0.486871,0.473844
UD_001_E_065_04,UD_001_E_065,top,180,0,0.525123,180,0.486871,0.038252,0.525123,0.475537,0.486871,0.473844
UD_001_E_090_01,UD_001_E_090,left,270,0,0.645787,180,0.503564,0.142223,0.645787,0.475618,0.503564,0.455632
UD_001_E_090_02,UD_001_E_090,left,270,0,0.645787,180,0.503564,0.142223,0.645787,0.475618,0.503564,0.455632
UD_001_E_090_03,UD_001_E_090,left,270,0,0.645787,180,0.503564,0.142223,0.645787,0.475618,0.503564,0.455632
UD_001_E_090_04,UD_001_E_090,left,270,0,0.645787,180,0.503564,0.142223,0.645787,0.475618,0.503564,0.455632
UD_001_E_091_01,UD_001_E_091,left,270,0,0.647011,180,0.492174,0.154838,0.647011,0.487397,0.492174,0.468774
UD_001_E_091_02,UD_001_E_091,left,270,0,0.647011,180,0.492174,0.154838,0.647011,0.487397,0.492174,0.468774
UD_001_E_091_03,UD_001_E_091,left,270,0,0.647011,180,0.492174,0.154838,0.647011,0.487397,0.492174,0.468774
UD_001_E_091_04,UD_001_E_091,left,270,0,0.647011,180,0.492174,0.154838,0.647011,0.487397,0.492174,0.468774
UD_001_E_092_01,UD_001_E_092,left,270,90,0.611527,180,0.483677,0.12785,0.453538,0.611527,0.483677,0.453558
UD_001_E_092_02,UD_001_E_092,left,270,90,0.611527,180,0.483677,0.12785,0.453538,0.611527,0.483677,0.453558
UD_001_E_092_03,UD_001_E_092,left,270,90,0.611527,180,0.483677,0.12785,0.453538,0.611527,0.483677,0.453558
UD_001_E_092_04,UD_001_E_092,left,270,90,0.611527,180,0.483677,0.12785,0.453538,0.611527,0.483677,0.453558
UD_001_F_093_01,UD_001_F_093,left,270,90,0.645585,180,0.499149,0.146435,0.497123,0.645585,0.499149,0.487849
UD_001_F_093_02,UD_001_F_093,left,270,90,0.645585,180,0.499149,0.146435,0.497123,0.645585,0.499149,0.487849
